PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,total_price,AGE,AREA_Adyar,AREA_Anna Nagar,AREA_Chrompet,AREA_KK Nagar,AREA_Karapakam,AREA_T Nagar,AREA_Velachery,SALE_COND_AbNormal,SALE_COND_Adj Land,SALE_COND_Family,SALE_COND_Normal Sale,SALE_COND_Partial,PARK_FACIL_No,PARK_FACIL_Yes,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others,UTILITY_AVAIL_All Pub,UTILITY_AVAIL_ELO,UTILITY_AVAIL_NoSeWa,UTILITY_AVAIL_NoSewr ,STREET_Gravel,STREET_No Access,STREET_Paved
P00902,T Nagar,1972,111,2,1,5,Adj Land,No,Others,NoSewr ,No Access,14577130,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
P00293,T Nagar,1685,105,1,1,4,Family,No,House,NoSewr ,Gravel,13130325,34,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
P02235,Adyar,1130,29,1,1,3,Family,Yes,Commercial,ELO,Paved,13905300,30,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
P04080,Karapakam,1301,59,1,1,3,Normal Sale,Yes,Others,NoSewr ,Gravel,8368365,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
P02677,Adyar,730,185,1,1,2,Adj Land,Yes,House,ELO,Gravel,9166824,39,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
P00755,T Nagar,1806,138,2,1,5,Family,No,House,NoSeWa,Paved,11882434,35,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
P06980,Anna Nagar,1981,173,2,1,5,Adj Land,No,House,ELO,No Access,13464561,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
P02696,Adyar,868,15,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,9439900,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
P01517,T Nagar,1721,117,1,1,4,Adj Land,Yes,Others,ELO,Paved,15513979,20,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
P09650,Velachery,1755,16,2,1,4,Adj Land,Yes,Others,All Pub,Gravel,10702831,19,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
P05950,Anna Nagar,1709,130,1,1,4,Family,No,Others,NoSeWa,Gravel,13471591,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
P05051,KK Nagar,2114,46,3,2,5,Adj Land,Yes,Commercial,NoSeWa,Gravel,18478191,21,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
P04978,Karapakam,1226,180,1,1,3,Normal Sale,No,House,All Pub,Paved,5239698,27,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
P03704,Velachery,1648,111,2,1,4,Family,Yes,Others,NoSeWa,Paved,9528316,13,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
P02247,Chrompet,856,36,1,1,3,Adj Land,Yes,Others,NoSewr ,Gravel,10819523,26,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
P07194,Adyar,904,52,1,1,3,Adj Land,No,Commercial,ELO,No Access,11972645,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
P01107,Chrompet,1198,105,1,1,3,Normal Sale,No,Others,All Pub,No Access,8603978,36,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
P02442,Karapakam,931,16,1,1,3,Adj Land,No,Commercial,All Pub,Paved,7402837,18,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
P06444,Karapakam,1290,86,1,1,3,Adj Land,Yes,House,All Pub,Paved,8201955,48,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
P05298,Karapakam,507,49,1,1,2,AbNormal,Yes,House,ELO,Gravel,6054496,46,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
P05882,KK Nagar,2492,113,4,2,6,AbNormal,No,Commercial,NoSeWa,Paved,19867776,16,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
P02558,Karapakam,851,105,1,1,2,Partial,No,House,All Pub,No Access,3779441,29,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
P09483,T Nagar,1882,189,2,1,5,AbNormal,Yes,Others,ELO,Gravel,16757850,21,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
P04106,Karapakam,1412,28,2,2,4,Adj Land,No,House,ELO,Gravel,8823087,28,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
P09556,Adyar,779,51,1,1,2,Normal Sale,No,House,NoSewr ,No Access,5512842,9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
P00389,T Nagar,1655,19,1,1,4,AbNormal,No,Others,All Pub,Gravel,13163828,34,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
P05245,Karapakam,940,167,1,1,3,Adj Land,No,House,All Pub,Paved,6185784,49,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
P01690,KK Nagar,1667,126,2,1,4,Partial,Yes,House,NoSeWa,Paved,11362753,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
P07753,KK Nagar,1926,49,3,2,5,Family,Yes,Commercial,NoSeWa,Paved,17976166,9,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
P08611,Adyar,718,75,1,1,2,Partial,Yes,Others,ELO,No Access,5837413,30,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
P01934,Karapakam,545,154,1,1,2,Partial,No,Others,ELO,No Access,4108764,30,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
P06326,Karapakam,1249,25,1,1,3,Adj Land,Yes,Others,ELO,Gravel,9033213,36,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
P00865,T Nagar,1894,187,2,1,5,Partial,Yes,House,NoSewr ,Gravel,14118319,45,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
P02088,Karapakam,1469,200,2,2,4,AbNormal,No,Commercial,NoSewr ,No Access,9897904,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
P07770,Adyar,916,32,1,1,3,Normal Sale,Yes,House,ELO,No Access,6098963,28,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
P08118,Chrompet,934,11,1,1,3,Adj Land,Yes,House,NoSeWa,Paved,10079914,22,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
P03221,Karapakam,1691,100,2,2,4,AbNormal,No,House,NoSeWa,Gravel,9896884,31,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
P03273,Karapakam,1236,36,1,1,3,Normal Sale,No,Commercial,NoSewr ,Paved,9255369,39,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
P08667,T Nagar,1577,23,1,1,4,Partial,Yes,Others,NoSeWa,Paved,12582910,36,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
P03791,Anna Nagar,1915,13,2,1,5,Partial,Yes,Others,NoSeWa,Gravel,14700118,41,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
P01247,Anna Nagar,1600,154,1,1,4,Family,Yes,House,ELO,Gravel,12397652,21,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
P02391,Velachery,1579,58,2,1,4,AbNormal,Yes,Commercial,ELO,Paved,14073061,24,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
P07825,Adyar,1260,89,2,2,4,Partial,No,Others,NoSeWa,No Access,7213740,25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
P05787,Adyar,1021,176,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,12210141,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
P02285,KK Nagar,2174,48,3,2,5,Family,Yes,Others,All Pub,Paved,13932343,23,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
P05309,Adyar,668,177,1,1,2,AbNormal,Yes,Commercial,NoSeWa,Gravel,10715485,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
P09664,Velachery,1724,116,2,1,4,AbNormal,Yes,House,ELO,No Access,9466999,54,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
P02813,Adyar,890,116,1,1,3,AbNormal,Yes,House,NoSewr ,Paved,7482031,30,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
P08933,Adyar,1218,51,2,2,4,Normal Sale,No,Commercial,All Pub,No Access,13090419,30,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
P03590,Anna Nagar,1792,41,1,1,4,Family,Yes,House,ELO,Gravel,14671115,21,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
P01725,Karapakam,1378,192,2,2,4,Adj Land,No,Others,NoSewr ,Gravel,10423293,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
P06570,Karapakam,898,72,1,1,3,Partial,Yes,Commercial,NoSewr ,Paved,9190684,29,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
P02686,Anna Nagar,1928,148,2,1,5,Partial,No,House,All Pub,No Access,12238735,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
P07789,Chrompet,1233,24,2,1,4,AbNormal,No,House,NoSeWa,Gravel,10170568,33,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
P08836,Velachery,1618,100,2,1,4,Adj Land,Yes,Others,NoSewr ,Paved,9726203,40,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
P02716,Karapakam,627,49,1,1,2,Family,No,House,NoSewr ,Gravel,6903700,28,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
P09780,Velachery,1563,43,2,1,4,Family,No,House,NoSeWa,Gravel,10299127,28,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
P06528,Karapakam,1693,187,2,2,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,13351965,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
P06989,T Nagar,1522,85,1,1,4,Partial,No,Commercial,All Pub,Gravel,18135236,43,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
P07824,Adyar,1090,171,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,10304376,28,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
P00545,Chrompet,1085,149,1,1,3,AbNormal,Yes,Commercial,NoSewr ,Gravel,14851860,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
P06461,T Nagar,1687,73,1,1,4,AbNormal,No,Others,NoSewr ,Paved,13113085,13,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
P07650,Adyar,692,62,1,1,2,Normal Sale,Yes,Commercial,All Pub,Paved,10900422,37,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
P07887,T Nagar,1518,145,1,1,4,Family,Yes,Commercial,All Pub,Paved,18216248,37,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
P08050,Adyar,1025,125,1,1,3,Partial,No,Commercial,NoSeWa,Paved,11426944,25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
P04677,KK Nagar,2170,121,3,2,5,Family,Yes,House,NoSewr ,Gravel,13250584,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
P03124,Chrompet,969,70,1,1,3,Family,Yes,Commercial,ELO,No Access,11732447,17,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P08147,KK Nagar,1546,129,2,1,4,AbNormal,No,Commercial,All Pub,Gravel,14825026,27,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
P06097,KK Nagar,1709,6,2,1,4,AbNormal,Yes,House,NoSeWa,Paved,10861682,20,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
P00959,T Nagar,1659,103,1,1,4,Adj Land,Yes,Others,NoSeWa,No Access,14188956,18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
P00057,Chrompet,755,8,1,1,2,Normal Sale,No,Commercial,ELO,Gravel,11060310,33,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
P08607,Adyar,1182,50,1,1,3,Normal Sale,Yes,House,All Pub,No Access,10281471,17,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
P01632,Adyar,735,67,1,1,2,Adj Land,No,Commercial,NoSeWa,No Access,9895773,14,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
P00937,Chrompet,1089,0,1,1,3,Normal Sale,Yes,House,ELO,Paved,9330756,32,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
P09868,Velachery,1534,6,2,1,4,Partial,Yes,Others,ELO,Paved,8251996,53,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
P08848,Anna Nagar,1622,147,1,1,4,Family,Yes,House,ELO,Gravel,13651305,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
P07681,KK Nagar,2198,71,3,2,5,Partial,Yes,Others,NoSewr ,Gravel,14386494,21,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
P00407,Chrompet,1293,34,2,1,4,Normal Sale,No,Commercial,ELO,No Access,13693157,39,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
P06126,KK Nagar,1641,178,2,1,4,Partial,No,Others,All Pub,Gravel,10663419,29,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
P09763,Velachery,1950,185,3,2,5,Adj Land,Yes,Others,NoSeWa,Paved,12602262,41,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
P02652,Karapakam,1245,106,1,1,3,Partial,No,Others,NoSeWa,Paved,5233151,28,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
P06329,Chrompet,905,144,1,1,3,Family,No,Others,ELO,Gravel,8003625,33,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
P01701,KK Nagar,1496,135,2,1,4,Family,No,House,NoSewr ,Gravel,8971826,14,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
P09722,Velachery,1892,38,3,2,5,Adj Land,Yes,House,ELO,Gravel,12729658,36,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
P04743,Velachery,1517,40,2,1,4,Family,No,Commercial,ELO,Paved,12196843,11,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
P06768,Adyar,1034,73,1,1,3,Adj Land,Yes,Others,ELO,Gravel,9580726,16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
P06746,Velachery,1755,142,2,1,4,Family,Yes,Commercial,NoSewr ,Gravel,15691527,35,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
P00934,Anna Nagar,1622,79,1,1,4,Adj Land,Yes,House,NoSeWa,Paved,14198084,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
P00899,Chrompet,1092,89,1,1,3,Normal Sale,No,Others,All Pub,No Access,8516922,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
P00566,Chrompet,821,34,1,1,3,Adj Land,No,House,NoSeWa,Paved,7552336,8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
P07878,KK Nagar,1694,72,2,1,4,Family,No,Others,NoSeWa,Gravel,10858491,11,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
P05305,Anna Nagar,1809,177,2,1,5,Family,No,Commercial,All Pub,No Access,19955937,26,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
P02252,Karapakam,1401,20,2,2,4,Partial,Yes,Others,All Pub,Gravel,10633056,14,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
P03571,Karapakam,1470,99,2,2,4,AbNormal,No,Others,NoSewr ,No Access,7682662,25,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
P00942,Chrompet,798,166,1,1,2,Partial,No,Commercial,NoSewr ,Paved,9469654,37,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
P08304,Chrompet,764,137,1,1,2,Partial,No,House,ELO,No Access,5919689,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
P07597,Chrompet,1135,50,1,1,3,AbNormal,No,Others,NoSewr ,No Access,9697353,23,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
P06565,Karapakam,939,74,1,1,3,AbNormal,No,House,ELO,No Access,4547346,38,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
P06398,Karapakam,1586,59,2,2,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,15103380,28,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
P09021,Chrompet,1023,44,1,1,3,Partial,Yes,House,All Pub,Paved,10056410,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
P04325,Chrompet,884,75,1,1,3,Normal Sale,No,Commercial,NoSewr ,No Access,11665156,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
P05031,Anna Nagar,1640,113,1,1,4,Adj Land,No,Commercial,ELO,No Access,18391963,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
P08918,Adyar,622,60,1,1,2,Normal Sale,No,Others,ELO,No Access,6862108,20,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
P05947,Anna Nagar,1880,90,2,1,5,Partial,Yes,House,NoSeWa,No Access,14121017,16,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
P05350,KK Nagar,2413,166,4,2,6,AbNormal,No,Others,NoSeWa,Paved,13712532,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
P07092,T Nagar,1649,169,1,1,4,Adj Land,No,Commercial,All Pub,Gravel,19734543,25,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
P08337,Velachery,1729,144,2,1,4,Partial,Yes,Commercial,NoSewr ,Paved,13328517,41,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
P00089,T Nagar,1942,10,2,1,5,Family,No,House,NoSeWa,Gravel,12712993,37,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
P00403,Chrompet,711,116,1,1,2,Adj Land,Yes,Others,NoSeWa,No Access,8364230,12,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
P00717,Chrompet,885,122,1,1,3,Family,No,House,ELO,No Access,7539941,32,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
P06064,KK Nagar,1688,148,2,1,4,AbNormal,Yes,House,NoSewr ,Gravel,12245828,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
P08625,Adyar,1236,108,2,2,4,Family,No,Commercial,ELO,Gravel,12540840,37,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
P02917,Karapakam,926,98,1,1,3,Family,No,House,ELO,Gravel,7234604,20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
P06881,KK Nagar,1686,57,2,1,4,AbNormal,No,Others,NoSeWa,Paved,10925799,24,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
P05823,Karapakam,1344,129,2,2,4,Adj Land,No,Commercial,NoSewr ,Gravel,11522927,50,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
